Contributor,March 2017
hisilicon.com,80
alliedtelesis.co.nz,80
w1.fi,78
tuxera.com,71
microsemi.com,71
tpip.net,70
nokia.com,70
narfation.org,70
mail.ccsf.edu,70
caviumnetworks.com,70
amarulasolutions.com,70
virtuozzo.com,69
xs4all.nl,60
wunner.de,60
tkos.co.il,60
s-opensource.com,60
netapp.com,60
ikuai8.com,60
aquantia.com,60
sixbynine.org,55
sandisk.com,52
samba.org,51
microchip.com,51
gentoo.org,51
alum.mit.edu,51
altlinux.org,51
phoenixcontact.com,50
ovn.org,50
exdev.nl,50
embeddedor.com,50
axtens.net,50
konsulko.com,46
oblong.com,45
denx.de,44
citrix.com,44
iogearbox.net,41
formelder.dk,41
brocade.com,41
tycho.nsa.gov,40
skyboo.net,40
skidata.com,40
posteo.de,40
namei.org,40
lemote.com,40
lechnology.com,40
hofr.at,40
fastmail.com,40
farole.net,40
cogentembedded.com,40
c-s.fr,40
auristor.com,40
HansenPartnership.com,40
nordicsemi.no,38
freedesktop.org,38
feralinteractive.com,37
lge.com,32
ispras.ru,32
miraclelinux.com,31
m4x.org,31
lwfinger.net,31
xilinx.com,30
wanadoo.fr,30
uclouvain.be,30
rwth-aachen.de,30
lunn.ch,30
iitkgp.ac.in,30
deebas.com,30
kaod.org,29
jlekstrand.net,28
mit.edu,27
aleksander.es,26
aheymans.xyz,26
nuvoton.com,24
alphalink.fr,24
openvz.org,23
obsidianresearch.com,22
corna.info,22
stressinduktion.org,21
perex.cz,21
mork.no,21
zx2c4.com,20
zte.com.cn,20
xyratex.com,20
ukr.net,20
tw.promise.com,20
tul.cz,20
the-tk.com,20
southpole.se,20
solarflare.com,20
seznam.cz,20
semihalf.com,20
rvc.renesas.com,20
phytec.de,20
paul-moore.com,20
ozlabs.org,20
outlook.com,20
nwl.cc,20
nigauri.org,20
monkey.org,20
member.fsf.org,20
math.uni-bielefeld.de,20
lesbg.com,20
kellner.me,20
jp.alps.com,20
jkqxz.net,20
insomniasec.com,20
ingics.com,20
improbability.net,20
heimpold.de,20
gondor.apana.org.au,20
gmx.net,20
freescale.com,20
flir.com,20
ethanzonca.com,20
epam.com,20
decadent.org.uk,20
codeblueprint.co.uk,20
cmss.chinamobile.com,20
cirrus.com,20
chelsio.com,20
c0d3.blue,20
blala.de,20
axis.com,20
amazon.com,20
airwebreathe.org.uk,20
agner.ch,20
I-love.SAKURA.ne.jp,20
6wind.com,20
1wt.eu,20
kde.org,19
theobroma-systems.com,17
linux-mips.org,17
free.fr,17
ens.fr,17
gateworks.com,16
yandex.ru,15
jsg.id.au,15
molgen.mpg.de,14
android.com,14
nbd.name,13
tieto.com,12
profitbricks.com,12
codecoup.pl,12
xmission.com,11
wjw-solutions.com,11
wifirst.fr,11
wickenrode.com,11
weidahitech.com,11
rowland.harvard.edu,11
queasysnail.net,11
phrozen.org,11
mail.parknet.co.jp,11
linux.com,11
au1.ibm.com,11
alcatel-sbell.com.cn,11
youcom.nl,10
yahoo.es,10
wwwdotorg.org,10
wdc.com,10
viewizard.com,10
verge.net.au,10
vdwaa.nl,10
vanguardiasur.com.ar,10
valens.com,10
uwaterloo.ca,10
umail.furryterror.org,10
ukr.ne,10
toxicpanda.com,10
topic.nl,10
tisys.org,10
tigera.io,10
telegraphics.com.au,10
telecom-sudparis.eu,10
sysgo.com,10
stuntstein.dk,10
stratus.com,10
stengle.in,10
sipsolutions.net,10
simonwunderlich.de,10
sigmadesigns.com,10
rtschenk.de,10
rosedu.org,10
rockwellcollins.com,10
rm5248.com,10
rjwysocki.net,10
raspberrypi.org,10
ps.hitachi-solutions.com,10
protonic.nl,10
povil.us,10
pmeerw.net,10
plaes.org,10
pixelmunchies.com,10
paulo.costa.nom.br,10
orange.fr,10
openwrt.org,10
opensource.se,10
ocallahan.org,10
nod.at,10
nic.fi,10
neuling.org,10
netflix.com,10
neratec.com,10
mina86.com,10
metafoo.de,10
mentor.com,10
makrotopia.org,10
mail.ru,10
lwn.net,10
lip6.fr,10
linux-powerpc.org,10
ladisch.de,10
kernel.crashing.org,10
kdab.com,10
jp.fujitsu.com,10
iki.fi,10
hurleysoftware.com,10
horus.com,10
heig-vd.ch,10
hauke-m.de,10
fr.zoreil.com,10
epigenesys.com,10
emlix.com,10
elisp.net,10
electromag.com.au,10
earth.li,10
dudau.co.uk,10
dev.mellanox.co.il,10
dettori.io,10
darmarit.de,10
cs.columbia.edu,10
craiginches.com,10
corp.bluecherry.net,10
compulab.co.il,10
cn.bosch.com,10
chronox.de,10
ccbib.org,10
candelatech.com,10
bitwise.fi,10
binghamton.edu,10
bidouilliste.com,10
bernat.im,10
bell.net,10
avionic-design.de,10
arunraghavan.net,10
allworx.com,10
akamai.com,10
airtame.com,10
agilox.net,10
advem.lv,10
abbadie.fr,10
tycoint.com,8
toradex.com,8
mstarsemi.com,8
tq-group.com,7
skyportsystems.com,7
gdsys.cc,7
embedded.rocks,7
vidarholen.net,6
rutgers.edu,6
openedev.com,6
ite.com.tw,6
gibson.dropbear.id.au,6
daynix.com,6
chromiumorg,6
amsat.org,6
riseup.net,5
philjordan.eu,5
mni.thm.de,5
grassart.com,5
freebsd.org,5
drv.nu,5
wizery.com,4
tnhh.net,4
siemens.com,4
noos.fr,4
no-log.org,4
kakaroto.homelinux.net,4
debian.org,4
das-labor.org,4
system.gserviceaccount.com,3
primarydata.com,3
limesaudio.com,3
dronecode.org.uk,3
aspeedtech.com,3
armadeus.com,3
tdiedrich.de,2
spreadtrum.com,2
solid-run.com,2
siol.net,2
schinagl.nl,2
reactos.org,2
meinit.nl,2
maciej.szmigiero.name,2
koconnor.net,2
kamp.de,2
hughsie.com,2
gmx.at,2
fe80.eu,2
fami-braun.de,2
donderklumpen.de,2
axentia.se,2
atmel.com,2
asrmicro.com,2
ZenIV.linux.org.uk,2
weilnetz.de,1
web.de,1
vivier.eu,1
virtuozzo.mipt.ru,1
variantweb.net,1
users.noreply.github.com,1
universe-factory.net,1
uclinux.org,1
twiddle.net,1
stgolabs.net,1
ssi.bg,1
sandeen.net,1
sadel.it,1
rad-ic.com,1
protonmail.com,1
pqgruber.com,1
plexistor.com,1
opera.com,1
opengridcomputing.com,1
nathanrossi.com,1
mojatatu.com,1
ltec.ch,1
linuxmint.com,1
kudzu.us,1
kernsp.in,1
iptronix.com,1
iotwrt.com,1
ilande.co.uk,1
gpartner-nvidia.com,1
foxmail.com,1
fedoraproject.org,1
email.cz,1
efficios.com,1
dell.com,1
datapath.co.uk,1
danweeks.net,1
crashcourse.ca,1
codethink.co.uk,1
cloudera.com,1
cardoe.com,1
br-automation.com,1
bluekitchen-gmbh.com,1
bitland.com.cn,1
balean.com.au,1
asus.com,1
asciiwolf.com,1
aribaud.net,1
